Location,Date,record,Battery,Logger.Temp,NDVIDownRed,NDVIDownNIR,NDVIUpRed,NDVIUpNIR,NDVI,PRIDown532,PRIDown570,PRIUp532,PRIUp570,PRI,TempK,TempC,SWin,SWout,SWnet,LWin,LWout,LWnet,NetRad,Albedo,IR.BodyT.C,IR.TargetT.C
cm,date,record,Volt,Degree,Logger.Temp,NDVIDownRed,NDVIDownNIR,NDVIUpRed,NDVIUpNIR,NDVI,PRIDown532,PRIDown570,PRIUp532,PRIUp570,PRI,Degree in K,Degree in C,SWin,SWout,SWnet,LWin,LWout,LWnet,NetRad,Albedo,IR.BodyT.C,IR.TargetT.C

500,"2016-03-11 15:03:54",2624,12.08,16.19,2,0.012,0.013,0.6280001,0.399,0.261,0.0071,0.0072,0.6413,0.6189,-0.025,286.5307,13.38072,471.5375,55.48957,416.0479,253.1357,386.0591,-132.9234,283.1245,0.117678,13.51,13.62

500,"2016-03-11 15:05:42",2627,12.07,16.07,3,0.011,0.013,0.6230001,0.379,0.32,0.0074,0.007,0.634,0.6129999,0.011,286.3413,13.19133,466.1423,53.82132,412.321,252.1263,382.351,-130.2247,282.0963,0.1154611,13.38,13.29

1500,"2016-03-11 15:07:12",2630,12.09,15.97,4,0.012,0.015,0.633,0.395,0.334,0.0095,0.0093,0.6521,0.6281,-0.008,286.3413,13.19133,474.9287,54.55973,420.369,249.3173,379.9053,-130.588,289.781,0.1148798,13.55,13.25

2500,"2016-03-11 15:09:18",2633,12.06,15.82,5,0.009,0.022,0.6370001,0.398,0.593,0.0068,0.0074,0.652,0.6297,-0.06,286.1729,13.02293,475.8536,51.71551,424.1381,247.2297,378.0818,-130.8521,293.286,0.1086795,13.56,12.29

3500,"2016-03-11 15:11:38",2636,12.06,15.68,6,0.009,0.011,0.639,0.397,0.326,0.0057,0.0063,0.6565,0.6346,-0.067,286.0887,12.93877,480.0156,52.20778,427.8079,247.4635,379.2369,-131.7734,296.0344,0.1087627,13.6,12.12

500,"2016-03-18 13:16:28",2639,12.08,9.95,1,0.009,0.011,0.324,0.257,0.213,0.0081,0.0076,0.4212,0.4046,0.012,280.9508,7.800781,253.9581,29.07117,224.887,306.9617,361.4482,-54.48643,170.4005,0.1144723,7.594,9.26

500,"2016-03-18 13:18:16",2642,12.07,9.91,2,0.01,0.012,0.347,0.273,0.208,0.0071,0.0076,0.4454,0.4321,-0.049,280.9514,7.801437,272.7642,30.98555,241.7786,307.1352,362.8007,-55.66554,186.1131,0.1135983,7.684,9.84

1500,"2016-03-18 13:19:46",2645,12.11,9.86,3,0.009,0.011,0.358,0.277,0.225,0.0066,0.0069,0.4607,0.4381,-0.047,280.9725,7.822495,281.7047,31.12229,250.5824,306.0494,361.3886,-55.33922,195.2432,0.1104784,7.797,9.93

2500,"2016-03-18 13:22:02",2648,12.11,9.86,4,0.007,0.017,0.386,0.299,0.516,0.0066,0.0065,0.4952,0.4762,-0.012,281.0363,7.886306,303.9791,34.29468,269.6844,306.2005,361.1196,-54.91912,214.7653,0.1128192,8,8.38

3500,"2016-03-18 13:24:20",2651,12.13,9.84,5,0.013,0.016,0.469,0.362,0.229,0.0127,0.0113,0.588,0.5705,0.043,281.0356,7.885635,370.2625,41.54197,328.7205,304.75,363.3932,-58.64321,270.0773,0.112196,7.995,10.65

250,"2016-03-18 14:02:12",2657,12.14,8.37,7,0.007,0.007,0.197,0.163,0.094,0.0057,0.006,0.2523,0.2479,-0.034,278.302,5.151993,143.8968,15.17827,128.7185,320.3845,346.7107,-26.32621,102.3923,0.1054802,4.526,6.39

500,"2016-03-18 14:04:30",2660,12.14,8.19,8,0.006,0.007,0.21,0.175,0.167,0.0044,0.004,0.2687,0.2619,0.035,278.0705,4.920502,149.8315,15.28766,134.5438,321.0418,344.1467,-23.10498,111.4388,0.1020324,4.338,5.654

750,"2016-03-18 14:06:30",2663,12.15,8.04,9,0.005,0.007,0.218,0.181,0.255,0.0042,0.0035,0.2825,0.2674,0.064,277.7759,4.6259,158.6949,16.35424,142.3407,321.48,342.375,-20.89498,121.4457,0.1030546,4.024,5.153

1000,"2016-03-18 14:08:42",2666,12.08,7.882,10,0.005,0.006,0.214,0.181,0.173,0.0036,0.0037,0.2772,0.2668,-0.033,277.4606,4.310654,158.4637,16.46364,142.0001,319.0138,340.0861,-21.07231,120.9278,0.1038953,3.662,5.195

250,"2016-03-19 13:12:48",2672,10.76,7.378,1,0.021,0.021,0.985,0.704,0.166,0.0173,0.0174,1.0444,1.0195,-0.015,279.23,6.080063,750.9586,86.94536,664.0132,219.3062,366.4656,-147.1594,516.8538,0.1157792,6.528,9.56

500,"2016-03-19 13:12:48",2672,10.76,7.378,1,0.021,0.021,0.985,0.704,0.166,0.0173,0.0174,1.0444,1.0195,-0.015,279.23,6.080063,750.9586,86.94536,664.0132,219.3062,366.4656,-147.1594,516.8538,0.1157792,6.528,9.56

750,"2016-03-19 13:24:56",2681,10.39,7.618,1,0.022,0.026,0.969,0.697,0.243,0.0158,0.0167,1.0339,0.9976,-0.046,279.3985,6.248535,740.694,87.849,652.845,204.3809,364.6821,-160.3012,492.5438,0.1186036,6.444,10.7

1000,"2016-03-19 13:27:04",2684,10.37,7.663,2,0.02,0.023,0.97,0.697,0.231,0.0154,0.0158,1.0336,1.0074,-0.026,279.23,6.080063,741.2066,86.07013,655.1365,202.3556,359.461,-157.1054,498.0312,0.1161216,6.048,9.4

1250,"2016-03-19 13:32:20",2687,10.41,7.706,1,0.019,0.026,0.96,0.69,0.311,0.0154,0.015,1.0293,0.9942,-0.004,279.2296,6.079574,738.6314,86.01334,652.618,204.823,358.4459,-153.623,498.9951,0.1164496,6.171,7.259

1500,"2016-03-19 13:39:56",2691,10.42,7.774,1,0.015,0.033,0.944,0.683,0.505,0.0112,0.0141,1.0151,0.9812,-0.131,279.2506,6.100632,727.3423,84.53198,642.8103,203.8227,355.3428,-151.52,491.2903,0.1162204,6.36,6.479

1750,"2016-03-19 13:45:44",2694,10.39,7.794,1,0.013,0.028,0.934,0.679,0.495,0.0093,0.0095,1.0062,0.9741,-0.027,279.1449,5.994873,721.2035,83.13988,638.0636,204.3208,357.5215,-153.2007,484.863,0.1152794,6.232,6.522

2000,"2016-03-19 13:51:56",2699,10.36,7.927,1,0.02,0.024,0.922,0.6690001,0.246,0.0194,0.0193,0.9902,0.9665,-0.01,279.6928,6.542816,711.977,85.65594,626.3212,205.5848,363.0175,-157.4327,468.8884,0.1203072,7.206,9.77

2500,"2016-03-19 13:59:46",2702,10.36,8.04,1,0.018,0.034,0.908,0.6650001,0.441,0.0143,0.0167,0.9756,0.9447,-0.093,279.2711,6.121154,701.2129,81.68493,619.528,204.4361,359.7481,-155.312,464.216,0.1164909,6.204,9.07

250,"2016-03-21 10:13:14",2707,12.17,4.15,1,0.204,0.119,1.01,0.742,-0.115,0.2574,0.2194,1.1503,1.1217,0.067,275.5913,2.44133,765.2748,259.5706,505.7041,225.6725,318.4622,-92.7897,412.9144,0.3391862,2.191,1.01

500,"2016-03-21 10:15:46",2710,12.15,4.408,2,0.125,0.06499999,0.668,0.49,-0.17,0.1426,0.1179,0.8296,0.7844,0.067,275.8858,2.73587,554.7921,187.1208,367.6713,220.6823,317.7522,-97.06995,270.6013,0.337281,3.057,0.904

750,"2016-03-21 10:18:04",2713,12.16,4.6,3,0.02,0.01,0.162,0.103,-0.12,0.0298,0.0214,0.2889,0.2584,0.109,275.8227,2.672699,129.3113,33.34663,95.96465,214.4168,314.75,-100.3332,-4.368546,0.2578788,2.947,-1.263

1000,"2016-03-21 10:20:44",2716,12.13,4.771,4,0.112,0.071,0.984,0.72,-0.072,0.131,0.1149,1.1328,1.1025,0.052,275.8433,2.693344,742.4575,203.3851,539.0724,212.5552,319.0693,-106.5142,432.5582,0.273935,3.052,1.236

1250,"2016-03-21 10:23:16",2719,12.07,4.966,5,0.102,0.069,1.01,0.732,-0.034,0.1172,0.1019,1.1524,1.117,0.054,276.0117,2.86174,759.378,196.1565,563.2216,214.2096,319.4496,-105.2399,457.9816,0.2583121,3.211,0.888

1500,"2016-03-21 10:25:52",2722,12.07,5.16,6,0.03,0.021,0.356,0.26,-0.021,0.0353,0.0312,0.6223,0.6065,0.049,276.2012,3.051178,279.6858,73.5652,206.1206,216.3069,318.6655,-102.3585,103.762,0.263028,3.452,0.064

1750,"2016-03-21 10:28:38",2725,12.14,5.311,7,0.094,0.068,0.95,0.643,0.033,0.0722,0.0678,1.0771,1.0221,0.005,276.4328,3.282776,776.5552,203.0565,573.4986,223.2094,323.1505,-99.94111,473.5576,0.2614837,3.474,2.171

2000,"2016-03-21 10:30:54",2728,12.18,5.42,8,0.068,0.032,0.443,0.387,-0.3,0.1001,0.0973,0.8057,0.7744,-0.006,276.3696,3.219589,361.2383,118.4928,242.7455,218.987,320.8217,-101.8347,140.9108,0.3280184,3.375,0.775

2250,"2016-03-21 10:33:28",2731,12.09,5.506,9,0.161,0.097,1.083,0.767,-0.081,0.199,0.1773,1.201,1.1748,0.047,276.4325,3.282501,799.116,214.3101,584.806,218.6068,321.4608,-102.854,481.9519,0.2681839,3.518,1.485

2500,"2016-03-21 10:35:50",2734,12.12,5.591,10,0.118,0.074,1.054,0.75,-0.063,0.1197,0.1006,1.1756,1.136,0.07,276.6009,3.450928,783.2209,203.6315,579.5894,218.5623,320.9177,-102.3554,477.234,0.2599924,3.859,0.24

2750,"2016-03-21 10:38:08",2737,12.14,5.7,11,0.093,0.066,1.025,0.732,-0.003,0.0842,0.0767,1.1609,1.1248,0.031,276.6012,3.451202,766.3002,190.3244,575.9758,214.2178,319.4838,-105.2659,470.7099,0.248368,3.689,0.689

3000,"2016-03-21 10:40:20",2740,12.13,5.765,12,0.111,0.078,1.019,0.728,-0.008,0.1332,0.1237,1.1534,1.1182,0.021,276.6001,3.450073,762.711,184.5744,578.1366,214.5533,319.3095,-104.7563,473.3804,0.2419978,3.694,0.79

3250,"2016-03-21 10:42:36",2743,12.15,5.851,13,0.11,0.073,1.025,0.731,-0.036,0.1315,0.1171,1.1596,1.1256,0.043,276.6214,3.47142,767.0694,181.2887,585.7806,214.8261,321.4381,-106.612,479.1687,0.2363394,3.65,1.18

3500,"2016-03-21 10:45:10",2746,12.15,5.939,14,0.121,0.078,1.055,0.748,-0.048,0.1531,0.1355,1.1819,1.1478,0.046,276.558,3.407974,784.2464,182.9316,601.3148,218.271,319.9518,-101.6808,499.634,0.2332578,3.452,0.609

3750,"2016-03-21 10:47:28",2749,12.2,5.96,15,0.105,0.066,1.008,0.662,-0.022,0.1163,0.1054,1.2025,1.1794,0.039,276.558,3.407974,805.269,188.353,616.916,221.1682,322.1468,-100.9786,515.9373,0.2339007,3.419,0.754

4000,"2016-03-21 10:50:02",2752,12.07,6.005,16,0.078,0.058,1.072,0.757,0.026,0.0827,0.0713,1.1806,1.1564,0.064,276.7898,3.639801,792.4504,189.8316,602.6188,221.0887,325.2864,-104.1977,498.4212,0.2395501,3.843,1.808

4250,"2016-03-21 10:52:38",2755,12.18,6.068,17,0.082,0.062,1.159,0.8,0.046,0.068,0.0602,1.2454,1.2211,0.051,276.9368,3.786834,835.2647,220.5529,614.7118,224.0119,323.5458,-99.53396,515.1778,0.2640515,4.002,1.698

4500,"2016-03-21 10:52:38",2755,12.18,6.068,17,0.082,0.062,1.159,0.8,0.046,0.068,0.0602,1.2454,1.2211,0.051,276.9368,3.786834,835.2647,220.5529,614.7118,224.0119,323.5458,-99.53396,515.1778,0.2640515,4.002,1.698

250,"2016-03-21 12:04:00",2761,12.17,8.02,1,0.017,0.013,0.261,0.22,-0.049,0.0153,0.0141,0.3193,0.3135,0.032,277.3344,4.184402,201.2966,38.11044,163.1862,316.425,327.9134,-11.4884,151.6978,0.1893248,3.892,1.699

500,"2016-03-21 12:07:28",2764,12.15,7.839,2,0.028,0.022,0.421,0.343,-0.018,0.0303,0.0264,0.5281,0.5173,0.058,276.8298,3.67981,328.0618,58.34292,269.7188,312.4567,326.9985,-14.5418,255.177,0.1778413,3.024,2.215

750,"2016-03-21 12:09:40",2767,12.17,7.706,3,0.023,0.018,0.342,0.279,-0.021,0.0302,0.0252,0.4309,0.4217,0.08,276.7673,3.617264,260.0885,44.10626,215.9822,312.6672,327.3731,-14.70591,201.2763,0.1695818,3.09,1.865

1000,"2016-03-21 12:12:44",2770,12.17,7.51,4,0.019,0.015,0.261,0.216,-0.024,0.0248,0.0221,0.3312,0.3226,0.044,276.4934,3.343445,200.8337,32.49791,168.3358,312.2046,325.6363,-13.43169,154.9041,0.161815,2.925,1.581

1250,"2016-03-21 12:14:44",2773,12.19,7.399,5,0.017,0.015,0.263,0.217,0.034,0.023,0.0201,0.3363,0.3241,0.049,276.3044,3.154388,205.3858,31.97772,173.4081,310.9583,324.9842,-14.0258,159.3823,0.1556959,2.75,1.368

1500,"2016-03-21 12:18:04",2776,12.13,7.18,6,0.019,0.025,0.438,0.355,0.238,0.0151,0.014,0.5564,0.5421,0.025,276.1571,3.007095,350.2052,55.57772,294.6274,309.1466,326.7284,-17.5818,277.0457,0.1587005,2.712,2.035

1750,"2016-03-21 12:20:22",2779,12.18,7.049,7,0.023,0.028,0.529,0.418,0.213,0.0225,0.0224,0.6587,0.6406001,-0.012,276.136,2.986053,430.4461,68.00742,362.4386,307.5122,329.8359,-22.32364,340.115,0.1579929,2.745,2.982

2000,"2016-03-21 12:23:44",2782,12.14,6.897,8,0.023,0.019,0.445,0.357,0.015,0.0246,0.021,0.5655,0.5507,0.066,276.3891,3.23909,363.0128,57.38468,305.6282,301.3942,329.4419,-28.04774,277.5804,0.1580789,3.386,3.597

2250,"2016-03-21 12:25:46",2785,12.14,6.852,9,0.023,0.017,0.377,0.291,-0.022,0.028,0.0229,0.4897,0.4648,0.074,276.2833,3.133346,309.4675,47.8297,261.6378,287.3394,325.6432,-38.30377,223.334,0.1545548,3.337,2.384

2500,"2016-03-21 12:29:02",2788,12.15,6.744,10,0.068,0.062,1.25,0.839,0.152,0.0862,0.0822,1.2859,1.2678,0.017,276.5151,3.365066,894.487,141.3674,753.1195,273.1114,334.7732,-61.66184,691.4577,0.158043,3.458,4.05

2750,"2016-03-21 12:31:30",2791,12.12,6.744,11,0.051,0.048,1.217,0.82,0.166,0.0483,0.0483,1.2598,1.2439,-0.006,277.1257,3.975677,875.2589,134.1389,741.1201,272.811,337.8797,-65.06868,676.0514,0.1532562,4.421,4.14

3000,"2016-03-21 12:34:56",2794,12.12,6.852,12,0.048,0.044,1.216,0.819,0.153,0.0412,0.0357,1.2517,1.2325,0.064,277.6729,4.522919,865.7731,125.9123,739.8608,270.6885,333.7752,-63.0867,676.7741,0.1454333,5.09,3.525

3250,"2016-03-21 12:37:18",2797,12.15,6.918,13,0.017,0.01,0.297,0.173,0.005,0.0211,0.0168,0.3628,0.3243,0.058,277.7143,4.564285,255.9993,32.85383,223.1454,272.4233,330.4305,-58.00717,165.1383,0.1283356,4.913,2.311

3500,"2016-03-21 12:40:54",2800,12.11,6.983,14,0.055,0.045,1.279,0.846,0.106,0.0551,0.0522,1.2585,1.2432,0.021,277.6936,4.543625,902.9473,125.8302,777.1171,264.6538,337.5058,-72.85204,704.265,0.1393549,4.548,5.09

3750,"2016-03-21 12:42:56",2803,12.1,7.006,15,0.037,0.024,0.745,0.38,0.12,0.0198,0.0151,0.3515,0.3011,0.058,277.6515,4.501526,645.0356,86.35081,558.6847,264.1086,333.3337,-69.22503,489.4597,0.1338698,4.57,2.846

4000,"2016-03-21 12:46:24",2806,12.19,7.006,16,0.011,0.013,0.324,0.241,0.227,0.0154,0.0115,0.4435,0.4036,0.099,277.146,3.996033,229.2266,26.31044,202.9162,261.3206,325.9899,-64.66937,138.2468,0.1147792,4.013,1.211

4250,"2016-03-21 12:48:42",2809,12.17,6.94,17,0.041,0.048,1.351,0.889,0.28,0.0426,0.0421,1.3521,1.3403,0.002,276.9146,3.764588,939.865,134.796,805.069,264.1242,332.7252,-68.60096,736.4681,0.1434206,3.623,2.503

4500,"2016-03-21 12:52:16",2812,12.08,6.875,18,0.056,0.05,1.493,0.958,0.164,0.0382,0.0344,1.4386,1.4324,0.05,277.3778,4.227875,1003.702,151.0602,852.6418,278.4609,338.0856,-59.62466,793.0172,0.1505031,4.504,4.235

250,"2016-03-21 14:03:00",2815,12.17,8.99,1,0.025,0.022,1.04,0.741,0.105,0.0178,0.0161,1.0395,1.0251,0.043,280.9323,7.782287,468.1747,91.96333,376.2114,248.7063,364.4873,-115.781,260.4304,0.1964295,7.53,8.47

500,"2016-03-21 14:05:26",2818,12.16,9.03,2,0.024,0.03,1.12,0.781,0.284,0.0191,0.0195,1.1017,1.0868,-0.017,280.9527,7.802719,806.0381,94.56428,711.4738,247.0196,363.8302,-116.8106,594.6632,0.1173198,7.694,10.08

750,"2016-03-21 14:07:30",2821,12.15,9.1,3,0.024,0.03,1.156,0.795,0.29,0.0202,0.0198,1.1304,1.111,0.001,280.9738,7.823776,825.2662,95.54989,729.7164,247.8924,359.9683,-112.0759,617.6404,0.1157807,7.92,9.92

1000,"2016-03-21 14:09:52",2824,12.16,9.19,4,0.024,0.028,1.177,0.807,0.26,0.0194,0.0191,1.1467,1.1238,-0.002,281.2475,8.097489,836.8029,97.38422,739.4188,249.442,361.9384,-112.4964,626.9224,0.1163765,8.45,9.79

1250,"2016-03-21 14:12:26",2827,12.14,9.35,5,0.017,0.024,0.789,0.661,0.255,0.0177,0.0172,1.0472,1.0243,0.003,281.2475,8.097489,606.8359,68.11693,538.719,253.5321,356.7886,-103.2565,435.4625,0.1122493,8.45,7.788

1500,"2016-03-21 14:14:32",2830,12.15,9.44,6,0.015,0.023,0.768,0.392,0.501,0.0073,0.0086,0.5776,0.5427,-0.113,281.31,8.160004,695.5412,78.4385,617.1026,240.3843,356.7664,-116.3821,500.7205,0.1127733,8.44,6.717

1750,"2016-03-21 14:16:34",2833,12.17,9.52,7,0.006,0.01,0.296,0.213,0.397,0.0054,0.0056,0.3924,0.3619,-0.059,281.2258,8.07579,237.7908,21.73828,216.0525,232.2902,348.4056,-116.1154,99.93711,0.0914177,8.36,5.611

2000,"2016-03-21 14:18:38",2836,12.16,9.59,8,0.017,0.022,0.767,0.584,0.259,0.0155,0.0166,0.9236,0.9161,-0.038,281.0567,7.906708,601.4521,69.34895,532.1032,232.2903,353.2098,-120.9196,411.1836,0.1153025,8.19,8.6

2250,"2016-03-21 14:20:54",2839,12.14,9.62,9,0.01,0.009,0.363,0.207,0.224,0.006,0.0061,0.3728,0.3458,-0.046,280.7626,7.61261,333.9255,35.89281,298.0327,240.3553,354.0951,-113.7398,184.2929,0.1074875,7.666,8.98

2500,"2016-03-21 14:23:06",2842,12.14,9.62,10,0.026,0.045,1.143,0.787,0.431,0.024,0.0255,1.1182,1.0882,-0.044,280.5521,7.402084,821.1642,101.2172,719.9469,245.5201,352.533,-107.0129,612.9341,0.1232606,7.389,7.366

2750,"2016-03-21 14:25:10",2845,12.14,9.59,11,0.01,0.013,0.387,0.258,0.322,0.0106,0.0115,0.4404,0.4147,-0.071,280.5731,7.423111,334.7743,34.55127,300.223,251.079,359.0545,-107.9755,192.2475,0.1032077,7.508,7.212

3000,"2016-03-21 14:28:38",2848,12.14,9.55,12,0.016,0.02,0.761,0.512,0.3,0.0143,0.0136,0.7487,0.74,0.019,280.0469,6.896866,641.19,71.81299,569.377,258.1644,350.854,-92.68959,476.6874,0.1119995,6.766,5.656

3250,"2016-03-21 14:30:48",2851,12.12,9.46,13,0.022,0.032,1.197,0.822,0.359,0.0161,0.0171,1.1596,1.1299,-0.043,279.9627,6.812683,851.4162,102.7503,748.6658,252.2916,356.3443,-104.0526,644.6132,0.1206817,6.817,9.61

3500,"2016-03-21 14:32:54",2854,12.16,9.41,14,0.02,0.026,1.124,0.783,0.302,0.0148,0.0141,1.1041,1.0858,0.016,279.9837,6.833709,812.4474,98.12343,714.324,246.1759,351.468,-105.2921,609.0319,0.1207751,6.957,8.01

3750,"2016-03-21 14:35:34",2857,12.14,9.35,15,0.016,0.019,0.858,0.5849999,0.271,0.0083,0.008,0.8205,0.8054,0.009,279.8785,6.72847,704.7706,83.44873,621.3218,240.625,353.0551,-112.4301,508.8917,0.1184055,6.934,8.69

4000,"2016-03-21 14:37:48",2860,12.11,9.32,16,0.018,0.034,1.051,0.746,0.454,0.0206,0.0209,1.0578,1.0317,-0.02,280.1521,7.002106,772.9659,92.5109,680.455,235.8523,356.4437,-120.5914,559.8636,0.119683,7.575,6.456

4250,"2016-03-21 14:40:22",2863,12.17,9.32,17,0.015,0.027,0.893,0.676,0.408,0.0176,0.0161,0.9937,0.9633,0.029,279.9627,6.812683,670.4165,75.91971,594.4968,231.415,348.8307,-117.4157,477.0811,0.1132426,7.114,5.017

4500,"2016-03-21 14:42:30",2866,12.12,9.3,18,0.015,0.021,0.974,0.721,0.308,0.0105,0.0102,1.0349,1.0066,0.001,279.9843,6.834289,722.204,83.64037,638.5636,230.074,353.0749,-123.001,515.5626,0.1158126,7.243,5.763

250,"2016-03-21 14:42:30",2866,12.12,9.3,18,0.015,0.021,0.974,0.721,0.308,0.0105,0.0102,1.0349,1.0066,0.001,279.9843,6.834289,722.204,83.64037,638.5636,230.074,353.0749,-123.001,515.5626,0.1158126,7.243,5.763

500,"2016-03-22 01:04:58",2872,12.08,-1.801,2,0,0,0,0,NAN,0,0.0005,0,0.0009,NAN,269.2748,-3.875198,-1.311502,1.286775,-2.598276,257.031,292.5307,-35.4997,-38.09798,-0.9811463,-3.081,-4.981

750,"2016-03-22 01:04:58",2872,12.08,-1.801,2,0,0,0,0,NAN,0,0.0005,0,0.0009,NAN,269.2748,-3.875198,-1.311502,1.286775,-2.598276,257.031,292.5307,-35.4997,-38.09798,-0.9811463,-3.081,-4.981

1000,"2016-03-22 01:09:46",2878,12.05,-1.821,4,0,0,0,0,NAN,0,0,0.0003,0,NAN,269.2955,-3.854477,-1.44008,1.232018,-2.672098,254.737,293.298,-38.56098,-41.23308,-0.8555209,-3.026,-4.668

1250,"2016-03-22 01:12:16",2881,12.12,-1.844,5,0,0,0,0,NAN,0.0001,0.0003,0,0.0006,NAN,269.3587,-3.791321,-1.542943,1.5058,-3.048743,241.3831,293.5778,-52.1947,-55.24344,-0.9759274,-2.982,-4.642

1500,"2016-03-22 01:12:16",2881,12.12,-1.844,5,0,0,0,0,NAN,0.0001,0.0003,0,0.0006,NAN,269.3587,-3.791321,-1.542943,1.5058,-3.048743,241.3831,293.5778,-52.1947,-55.24344,-0.9759274,-2.982,-4.642

1750,"2016-03-22 01:17:08",2887,11.94,-1.887,7,0,0,0,0,NAN,0.0002,0,0.001,0,NAN,269.3584,-3.791626,-2.031542,1.232018,-3.26356,243.1711,293.4076,-50.23644,-53.5,-0.6064452,-2.943,-4.688

2000,"2016-03-22 01:19:36",2890,12.07,-1.887,8,0,0,0,0,NAN,0.0001,0.0007,0,0,NAN,269.3797,-3.770264,-1.851532,1.232018,-3.08355,247.2708,293.6711,-46.40037,-49.48393,-0.665405,-2.932,-4.671

2250,"2016-03-22 01:22:02",2893,12.07,-1.907,9,0,0,0,0,NAN,0.0007,0.0006,0,0,NAN,269.359,-3.790985,-1.002913,1.451044,-2.453957,261.8352,294.5924,-32.75719,-35.21115,-1.446829,-2.899,-4.57

2500,"2016-03-22 01:24:30",2896,12.12,-1.907,10,0,0,0,0,NAN,0.0011,0,0,0,NAN,269.5057,-3.644241,-0.3343043,1.779582,-2.113886,258.1403,296.3407,-38.20043,-40.31432,-5.32324,-2.833,-4.272

2750,"2016-03-22 01:27:06",2899,12,-1.907,11,0,0,0,0,NAN,0,0.0002,0,0,NAN,269.5689,-3.58107,-2.057257,1.341531,-3.398788,224.1661,295.1861,-71.01997,-74.41875,-0.652097,-2.833,-4.571

3000,"2016-03-22 01:29:34",2902,12.07,-1.927,12,0,0,0,0,NAN,0.0007,0,0,0,NAN,269.611,-3.538971,-3.085886,1.533178,-4.619065,215.4061,294.8667,-79.46057,-84.07963,-0.4968357,-2.833,-4.785

3250,"2016-03-22 01:32:10",2905,12.09,-1.927,13,0,0,0,0,NAN,0.0011,0.0003,0.0001,0,NAN,269.611,-3.538971,-3.291612,1.697448,-4.98906,212.1681,295.9642,-83.79606,-88.78513,-0.5156889,-2.8,-4.507

3500,"2016-03-22 01:34:44",2908,12.08,-1.95,14,0,0,0,0,NAN,0,0,0,0.0004,NAN,269.5903,-3.559738,-4.011652,1.259397,-5.271049,208.071,295.6187,-87.54771,-92.81876,-0.3139347,-2.844,-4.723

3750,"2016-03-22 01:37:18",2911,12.05,-1.97,15,0,0,0,0,NAN,0.0006,0.0005,0,0.0001,NAN,269.59,-3.560028,-3.24018,1.5058,-4.745981,212.5858,296.4615,-83.87576,-88.62175,-0.4647273,-2.866,-4.433

4000,"2016-03-22 01:39:48",2914,11.96,-2.013,16,0,0,0,0,NAN,0.0002,0,0.0023,0.0003,1,269.611,-3.538971,-3.111602,1.286775,-4.398376,219.6667,297.0617,-77.39501,-81.7934,-0.413541,-2.877,-3.964

4250,"2016-03-22 01:42:18",2917,11.95,-2.036,17,0,0,0,0,NAN,0.0003,0,0.0008,0,NAN,269.611,-3.538971,-2.468709,1.451044,-3.919753,232.1926,297.4838,-65.29114,-69.21089,-0.5877744,-2.877,-3.976

4500,"2016-03-22 01:45:16",2920,12.04,-2.056,18,0,0,0,0,NAN,0,0,0,0,NAN,269.6532,-3.496857,-2.031542,1.20464,-3.236182,243.2017,298.0932,-54.89149,-58.12767,-0.5929685,-2.855,-3.82

250,"2016-03-22 10:13:00",2923,12.17,7.29,1,0.033,0.033,0.982,0.721,0.153,0.0297,0.0297,1.1207,1.0923,-0.013,277.4407,4.29068,751.687,90.67656,661.0104,222.1851,347.0008,-124.8157,536.1947,0.1206308,3.474,7.555

500,"2016-03-22 10:15:00",2926,12.14,7.356,2,0.028,0.033,1.003,0.728,0.238,0.0236,0.024,1.1342,1.1088,-0.02,277.5245,4.374512,759.1218,93.71554,665.4062,213.1329,345.1276,-131.9947,533.4116,0.1234526,4.212,6.52

750,"2016-03-22 10:17:24",2929,12.16,7.444,3,0.021,0.026,1.001,0.722,0.264,0.014,0.0148,1.1263,1.1049,-0.037,277.5248,4.374863,755.7889,90.23852,665.5504,209.7261,342.8498,-133.1237,532.4267,0.1193964,4.592,4.433

1000,"2016-03-22 10:19:34",2932,12.17,7.51,4,0.021,0.024,1.02,0.732,0.229,0.0154,0.0166,1.1364,1.1134,-0.048,277.5248,4.374863,765.0184,90.37541,674.6431,208.874,345.0448,-136.1708,538.4722,0.1181349,4.753,5.461

1250,"2016-03-22 10:21:46",2935,12.12,7.575,5,0.021,0.028,1.025,0.732,0.302,0.0175,0.0174,1.1391,1.1138,-0.008,277.4196,4.269623,764.762,89.69095,675.071,209.4719,340.4826,-131.0108,544.0603,0.1172796,4.554,4.4

1500,"2016-03-22 10:23:46",2938,12.15,7.575,6,0.021,0.048,1.083,0.773,0.524,0.0196,0.0228,1.1225,1.0767,-0.096,277.1881,4.038132,765.7874,88.95174,676.8358,208.0114,334.8042,-126.7928,550.0429,0.1161572,4.135,2.78

1750,"2016-03-22 10:25:46",2941,12.13,7.532,7,0.02,0.04,1.026,0.733,0.474,0.0157,0.0175,1.1492,1.1238,-0.065,276.9567,3.806656,769.1204,93.98932,675.131,209.2808,338.9219,-129.6411,545.4899,0.1222037,3.815,4.603

